SPECI;SPECI_name;AphiaID;WoRMS_name;AphiaID_accepted;WoRMS_accepted_name;MSTS_use
155860;Electra crustulenta;0;;0;;0
46645;Tintinnopsis brandti;0;;0;;0
58351;Keratella cruciformis eichwaldi;0;;0;;1
58582;Euchlanis dilatata;0;;0;;1
684629;Bosmina maritima;0;;0;;1
83905;Ceriodaphnia;0;;0;;1
84193;Bythotrephes;0;;0;;0
85766;Centropages hamatus;0;;0;;1
86087;Acartia longiremis;0;;0;;1
88222;Attheyella crassa;0;;0;;0
90045;Mysis relicta;0;;0;;0
ACAR TON;Acartia tonsa;0;;0;;1
BO CO.MA;Bosmina coregoni maritima;0;;0;;1
CYCLOPSZ;CYCLOPS;0;;0;;1
HARPACTI;HARPACTICOIDA;0;;0;;1
POLYCHAE;POLYCHAETA;0;;0;;0
ACARTIAZ;ACARTIA;0;;0;;1
FRIT BOR;Fritillaria borealis;0;;0;;1
KE QU.PL;Keratella quadrata platei;0;;0;;1
CENTROPZ;CENTROPAGES;0;;0;;1
59255;Synchaeta;0;;0;;1
86084;Acartia;0;;0;;1
86095;Acartia bifilosa;0;;0;;1
684625;Cercopagis pengoi;0;;0;;0
83838;Diaphanosoma brachyurum;0;;0;;1
58349;Keratella cruciformis;0;;0;;1
85863;Eurytemora affinis;0;;0;;1
572734;Macrocyclops fuscus;0;;0;;1
684626;Pleopsis polyphemoides;0;;0;;1
KE CO.CO;Keratella cochlearis cochlearis;0;;0;;1
COPEPODA;COPEPODA;0;;0;;1
Zooplankton;zooplankton - for total net catch/haul data with no taxonomy;0;;0;;0
64358;Polychaeta;0;;0;;0
83876;Daphnia galeata;0;;0;;1
EURYTEMZ;EURYTEMORA;0;;0;;1
MYTI EDU;Mytilus edulis;0;;0;;0
PODO INT;Podon intermedius;0;;0;;1
TEMO LON;Temora longicornis;0;;0;;1
46653;Tintinnopsis lobiancoi;0;;0;;0
58362;Keratella cochlearis cochlearis;0;;0;;1
58355;Keratella quadrata platei;0;;0;;1
DA CU.CU;Daphnia cucullata cucullata;0;;0;;1
TINT BRA;Tintinnopsis brandti;0;;0;;0
46699;Helicostomella subulata;0;;0;;0
83961;Evadne nordmanni;0;;0;;1
Synchaeta monopus;Synchaeta monopus;135059;Synchaeta monopus;135059;Synchaeta monopus;1
83960;Evadne;0;;0;;1
66917;Pygospio elegans;0;;0;;0
Nauplii;nauplii with no taxonomy;0;;0;;1
83938;Bosmina longirostris;0;;0;;1
83993;Chydorus sphaericus;0;;0;;1
58438;Brachionus calyciflorus;0;;0;;1
58396;Notholca;0;;0;;1
59426;Filinia longiseta;0;;0;;1
SYNCHAEZ;SYNCHAETA;0;;0;;1
CENT HAM;Centropages hamatus;0;;0;;1
ACAR LON;Acartia longiremis;0;;0;;1
90041;Mysis;0;;0;;0
83967;Podon polyphemoides;0;;0;;1
59270;Polyarthra;0;;0;;1
85874;Temora;0;;0;;1
86088;Acartia tonsa;0;;0;;1
59194;Dicranophorus grandis;0;;0;;1
88805;Oithona similis;0;;0;;1
PODO POL;Podon polyphemoides;0;;0;;1
HARM SAR;Harmothoe sarsi;0;;0;;0
GASTROPO;GASTROPODA;0;;0;;0
KE CR.EI;Keratella cruciformis eichwaldi;0;;0;;1
ASPLANCZ;ASPLANCHNA;0;;0;;1
58361;Keratella cochlearis recurvispina;0;;0;;1
79118;Bivalvia;0;;0;;0
83965;Podon intermedius;0;;0;;1
58360;Keratella cochlearis;0;;0;;1
Larvae;larvae with no taxonomy;0;;0;;0
85877;Temora longicornis;0;;0;;1
88732;Paracyclops fimbriatus;0;;0;;1
83883;Daphnia cucullata;0;;0;;1
83837;Diaphanosoma;0;;0;;1
86624;Laophonte mohammed;0;;0;;0
58578;Euchlanis;0;;0;;1
46625;Leprotintinnus;0;;0;;0
89433;Cirripedia;0;;0;;0
ACAR BIF;Acartia bifilosa;0;;0;;1
SYNC MON;Synchaeta monopus;0;;0;;1
KE CO.RE;Keratella cochlearis recurvispina;0;;0;;1
KE QU.QU;Keratella quadrata quadrata;0;;0;;1
PYGO ELE;Pygospio elegans;0;;0;;0
85862;Eurytemora;0;;0;;1
89622;Balanus improvisus;0;;0;;0
86110;Harpacticoida;0;;0;;1
85323;Paracalanus parvus;0;;0;;1
83966;Podon leuckartii;0;;0;;1
86209;Microsetella norvegica;0;;0;;1
85780;Diaptomus;0;;0;;1
58352;Keratella quadrata;0;;0;;1
87053;Nitocra typica;0;;0;;0
TINT TUB;Tintinnopsis tubulosa;0;;0;;0
MYSIDAEX;MYSIDAE;0;;0;;0
EVADNE Z;EVADNE;0;;0;;1
BIVALVIA;BIVALVIA;0;;0;;0
PS MI.EL;Pseudocalanus minutus elongatus;0;;0;;1
LIMN MAC;Limnocalanus macrurus;0;;0;;1
MYSIS Z;MYSIS;0;;0;;0
PODO LEU;Podon leuckarti;0;;0;;1
85775;Limnocalanus macrurus;0;;0;;1
59256;Synchaeta baltica;0;;0;;1
88640;Cyclops;0;;0;;1
58358;Keratella quadrata quadrata;0;;0;;1
58486;Kellicottia longispina;0;;0;;1
85761;Centropages;0;;0;;1
59419;Conochilus unicornis;0;;0;;1
83875;Daphnia longispina;0;;0;;1
88731;Paracyclops;0;;0;;1
59190;Dicranophorus;0;;0;;1
83873;Daphnia;0;;0;;1
69459;Gastropoda;0;;0;;0
CERIODAZ;CERIODAPHNIA;0;;0;;1
DA CR.CR;Daphnia cristata cristata;0;;0;;1
EVAD NOR;Evadne nordmanni;0;;0;;1
SYNC BAL;Synchaeta baltica;0;;0;;1
684605;Cercopagis;0;;0;;0
BALA IMP;Balanus improvisus;0;;0;;0
OITH SIM;Oithona similis;0;;0;;1
59434;Collotheca;0;;0;;1
86085;Acartia clausi;0;;0;;1
85257;Copepoda;0;;0;;1
59235;Asplanchna;0;;0;;1
59240;Asplanchna priodonta;0;;0;;1
85272;Calanus finmarchicus;0;;0;;1
Bosmina coregoni maritima;Bosmina coregoni maritima;106279;Bosmina (Eubosmina) coregoni maritima;106271;Bosmina (Eubosmina) coregoni;1
58239;Rotifera;0;;0;;1
ELEC CRU;Electra crustulenta;0;;0;;0
159675;Fritillaria borealis;0;;0;;1
85322;Paracalanus;0;;0;;1
59425;Filinia;0;;0;;1
85258;Calanoida;0;;0;;1
85370;Pseudocalanus elongatus;0;;0;;1
158650;Chaetognatha;0;;0;;0
51483;Scyphozoa;0;;0;;0
53964;Turbellaria;0;;0;;0
563956;Nemata;0;;0;;0
57411;Nemertea;0;;0;;0
83963;Evadne spinifera;0;;0;;1
85263;Calanus;0;;0;;1
85734;Metridia;0;;0;;1
Lamellibranchiata;Lamellibranchiata;234066;Lamellibranchiata;105;Bivalvia;0
85371;Pseudocalanus minutus;0;;0;;1
67706;Pectinaria;0;;0;;0
95599;Decapoda;0;;0;;0
88573;Corycaeus anglicus;0;;0;;0
58267;Rotaria;0;;0;;0
88541;Oncaea borealis;0;;0;;1
59075;Trichocerca marina;0;;0;;1
85866;Eurytemora hirundoides;0;;0;;1
85746;Metridia longa;0;;0;;1
86096;Acartia discaudata;0;;0;;1
88813;Oithona nana;0;;0;;1
155868;Electra pilosa;0;;0;;0
83964;Podon;0;;0;;1
85366;Microcalanus;0;;0;;1
158727;Sagitta;0;;0;;0
53857;Ctenophora;0;;0;;0
159669;Oikopleura dioica;0;;0;;1
66781;Spionidae;0;;0;;0
89600;Balanus;0;;0;;0
83952;Eubosmina coregoni;0;;0;;1
83832;Cladocera;0;;0;;0
158795;Parasagitta setosa;0;;0;;0
83677;Crustacea;0;;0;;0
155462;Phoronis;0;;0;;0
83936;Bosmina;0;;0;;1
85767;Centropages typicus;0;;0;;1
58348;Keratella;0;;0;;1
88802;Oithona;0;;0;;1
156732;Entoprocta;0;;0;;0
85776;Isias;0;;0;;0
159668;Oikopleura;0;;0;;1
156857;Echinodermata;0;;0;;0
48738;Cnidaria;0;;0;;0
84195;Ostracoda;0;;0;;0
84500;Cypris;0;;0;;0
49514;Obelia;0;;0;;0
159674;Fritillaria;0;;0;;1
202423;Animalia;0;;0;;0
46638;Tintinnopsis tubulosa;0;;0;;0
48741;Anthomedusae;0;;0;;0
49469;Leptomedusae;0;;0;;0
51268;Siphonophora;0;;0;;0
51938;Anthozoa;0;;0;;0
53901;Lobata;0;;0;;0
53917;Mnemiopsis leidyi;0;;0;;0
684675;Eubosmina maritima;0;;0;;1
76333;Thecosomata;0;;0;;0
83836;Penilia avirostris;0;;0;;1
83969;Polyphemus pediculus;0;;0;;0
85352;Clausocalanus;0;;0;;1
86020;Candacia;0;;0;;0
98276;Brachyura;0;;0;;0
88803;Oithona helgolandica;0;;0;;1
206925;Branchiostoma lanceolatum;0;;0;;0
53856;Ctenophora;0;;0;;0
Balanus;Balanus;106122;Balanus;106122;Balanus;0
Podon;Podon;106269;Podon;106269;Podon;1
95108;Hyperiidae;0;;0;;0
Copepoda;Copepoda;1080;Copepoda;1080;Copepoda;1
86208;Microsetella;0;;0;;1
13758;Radiospermum;0;;0;;0
86127;Longipedia;0;;0;;0
159665;Larvacea;0;;0;;1
155457;Phoronidae;0;;0;;0
59074;Trichocerca;0;;0;;1
46743;Tintinnidae;0;;0;;0
95496;Euphausiacea;0;;0;;0
85369;Pseudocalanus;0;;0;;1
88570;Corycaeidae;0;;0;;0
155470;Ectoprocta;0;;0;;0
610015;Clausocalanidae;0;;0;;1
88530;Cyclopoida;0;;0;;1
88540;Oncaea;0;;0;;1
158852;Chordata;0;;0;;0
88571;Corycaeus;0;;0;;0
BRYOZOA;BRYOZOA;0;;0;;0
CYCLOPOI;CYCLOPOIDA;0;;0;;1
HARMOTHZ;HARMOTHOE;0;;0;;0
KERA CRU;Keratella cruciformis;0;;0;;1
POLYCHAETA;Polychaeta;883;Polychaeta;883;Polychaeta;0
SAGI SET;Sagitta setosa;0;;0;;0
BOSM COR;Bosmina coregoni;0;;0;;1
TEMORA Z;TEMORA;0;;0;;1
TINT CAM;Tintinnopsis campanula;0;;0;;0
CERI PUL;Ceriodaphnia pulchella;0;;0;;1
MYSI REL;Mysis relicta;0;;0;;0
CIRRIPED;CIRRIPEDIA;0;;0;;0
SYNCHAEX;SYNCHAETIDAE;0;;0;;1
SYNC FEN;Synchaeta fennica;0;;0;;1
BOSMINAZ;BOSMINA;0;;0;;1
PARA PAR;Paradoxornis paradoxus;0;;0;;0
ANNELIDA;ANNELIDA;0;;0;;0
TURBELLA;TURBELLARIA;0;;0;;0
KERA QUA;Keratella quadrata;0;;0;;1
CYPHONAZ;CYPHONAUTES;0;;0;;0
ACAR;Acar;206083;Acar;206083;Acar;0
EUCHLANZ;EUCHLANIS;0;;0;;1
BYTHOTRZ;BYTHOTREPES;0;;0;;0
PSEU MIN;Pseudocalanus minutus;0;;0;;1
BALANUSZ;BALANUS;0;;0;;0
DAPHNIAZ;DAPHNIA;0;;0;;1
POLYARTZ;POLYARTEMIA;0;;0;;0
ROTATORI;ROTATORIA;0;;0;;1
SAGITTAZ;SAGITTARIUS;0;;0;;0
ACAR DIS;Acartia discaudata;0;;0;;1
PLEU PIL;Pleurobrachia pileus;0;;0;;0
KERATELZ;KERATELLA;0;;0;;1
MESO LEU;Mesocyclops leuckarti;0;;0;;1
HYDROIDA;HYDROIDA;0;;0;;0
NOTHOLCZ;NOTHOLCA;0;;0;;1
MESO RAP;Mesochra rapiens;0;;0;;1
EURY AFF;Eurytemora affinis;0;;0;;1
BRACHIOZ;BRACHIONES;0;;0;;1
BO CO.CO;Bosmina coregoni coregoni;0;;0;;1
LIMN GRI;Limnodromus griseus;0;;0;;0
OSTRACOD;OSTRACODA;0;;0;;0
HARPACTX;HARPACTICIDAE;0;;0;;1
ONCAEA Z;ONCAEA;0;;0;;1
EVAD SPI;Evadne spinifera;0;;0;;1
GASTROSZ;GASTROSACCUS;0;;0;;0
OIKO DIO;Oikopleura dioica;0;;0;;1
PARACALZ;PARACALANUS;0;;0;;1
EURY HOI;Eurytemora hirundoides;0;;0;;1
HARPACTZ;HARPACTES;0;;0;;0
PSEU ELO;Pseudocalanus elongatus;0;;0;;1
PODON Z;PODON;0;;0;;1
BYTH LON;Bythotrepes longimanus;0;;0;;0
CENT TYP;Centropages typicus;0;;0;;1
CHAETOSZ;CHAETOPS;0;;0;;0
OITH ATL;Oithona atlantica;0;;0;;1
CALA FIN;Calanus finmarchicus;0;;0;;1
CRAN CRA;Crangon crangon;0;;0;;0
ECHINODE;ECHINODERMATA;0;;0;;0
OIKOPLEZ;OIKOPLEURA;0;;0;;1
LARVACEA;LARVACEA;0;;0;;1
TINTNOPZ;TINTINNOPSIS;0;;0;;0
ACAR CLA;Acartia clausi;0;;0;;1
LIMNOCAZ;LIMNOCALANUS;0;;0;;1
CHAETOGN;CHAETOGNATHA;0;;0;;0
FRITILLZ;FRITILLARIA;0;;0;;1
POLYDORZ;POLYDORA;0;;0;;0
VERR STR;Verruca stroemia;0;;0;;0
CALANOID;CALANOIDA;0;;0;;1
CNIDARIA;CNIDARIA;0;;0;;0
MICR PUS;Micropsitta pusio;0;;0;;0
METR LUC;Metridia lucens;0;;0;;1
CENTROPZ;CENTROPUS;0;;0;;0
PSEUCALZ;PSEUDOCALANUS;0;;0;;1
572748;Nitokra typica;0;;0;;1
58434;Brachionus;0;;0;;1
83972;Leptodora kindtii;0;;0;;0
Bosmina maritima;Bosmina maritima;157607;Bosmina maritima;106271;Bosmina (Eubosmina) coregoni;1
Evadne anonyx;Evadne anonyx;234084;Evadne anonyx;234084;Evadne anonyx;1
59167;Ascomorpha;0;;0;;1
83950;Eubosmina longispina;0;;0;;1
Eudiaptomus graciloides;Eudiaptomus graciloides;358605;Eudiaptomus graciloides;358605;Eudiaptomus graciloides;1
Acartia;Acartia;104108;Acartia;104108;Acartia;1
Acartia longiremis;Acartia longiremis;104257;Acartia longiremis;346037;Acartia (Acartiura) longiremis;1
Acartia tonsa;Acartia tonsa;104262;Acartia tonsa;345943;Acartia (Acanthacartia) tonsa;1
Asplanchna priodonta;Asplanchna priodonta;134977;Asplanchna priodonta;134977;Asplanchna priodonta;1
Bosmina;Bosmina;106265;Bosmina;106265;Bosmina;1
Brachionus;Brachionus;134937;Brachionus;134937;Brachionus;1
Brachionus calyciflorus;Brachionus calyciflorus;134980;Brachionus calyciflorus;134980;Brachionus calyciflorus;1
Calanoida;Calanoida;1100;Calanoida;1100;Calanoida;1
Centropages;Centropages;104159;Centropages;104159;Centropages;1
Centropages hamatus;Centropages hamatus;104496;Centropages hamatus;104496;Centropages hamatus;1
Chydorus sphaericus;Chydorus sphaericus;148406;Chydorus sphaericus;148406;Chydorus sphaericus;1
Conochilus unicornis;Conochilus unicornis;134966;Conochilus unicornis;134966;Conochilus unicornis;1
Cyclopoida;Cyclopoida;1101;Cyclopoida;1101;Cyclopoida;1
Cyclops;Cyclops;149782;Cyclops;149782;Cyclops;1
Daphnia;Daphnia;771485;;0;;1
Daphnia galeata;Daphnia galeata;717575;Daphnia galeata;717575;Daphnia galeata;1
Euchlanis dilatata;Euchlanis dilatata;134988;Euchlanis dilatata;134988;Euchlanis dilatata;1
Eudiaptomus gracilis;Eudiaptomus gracilis;149690;Eudiaptomus gracilis;149690;Eudiaptomus gracilis;1
Eurytemora affinis;Eurytemora affinis;104872;Eurytemora affinis;1416974;Eurytemora affinis affinis;1
Evadne;Evadne;106267;Evadne;106267;Evadne;1
Evadne nordmanni;Evadne nordmanni;106273;Evadne nordmanni;106273;Evadne nordmanni;1
Kellicottia longispina;Kellicottia longispina;134989;Kellicottia longispina;134989;Kellicottia longispina;1
Keratella;Keratella;134941;Keratella;134941;Keratella;1
Keratella cochlearis;Keratella cochlearis;134990;Keratella cochlearis;134990;Keratella cochlearis;1
Keratella cruciformis;Keratella cruciformis;134991;Keratella cruciformis;134991;Keratella cruciformis;1
Keratella quadrata;Keratella quadrata;134992;Keratella quadrata;134992;Keratella quadrata;1
Pleopsis polyphemoides;Pleopsis polyphemoides;106275;Pleopsis polyphemoides;247981;Pleopis polyphemoides;1
Podon leuckartii;Podon leuckartii;106277;Podon leuckartii;106277;Podon leuckartii;1
Synchaeta;Synchaeta;134958;Synchaeta;134958;Synchaeta;1
Temora;Temora;104241;Temora;104241;Temora;1
Temora longicornis;Temora longicornis;104878;Temora longicornis;104878;Temora longicornis;1
Acartia (Acanthacartia) bifilosa inermis;Acartia (Acanthacartia) bifilosa inermis;154359;Acartia (Acanthacartia) bifilosa inermis;345919;Acartia (Acanthacartia) bifilosa;1
Acartia bifilosa;Acartia bifilosa;104249;Acartia bifilosa;345919;Acartia (Acanthacartia) bifilosa;1
Bosmina (Bosmina) longirostris;Bosmina (Bosmina) longirostris;148379;Bosmina (Bosmina) longirostris;148379;Bosmina (Bosmina) longirostris;1
Chydorus;Chydorus;148377;Chydorus;148377;Chydorus;1
GASTROPODA;Gastropoda;101;Gastropoda;101;Gastropoda;0
HARPACTICOIDA;Harpacticoida;1102;Harpacticoida;1102;Harpacticoida;1
NEMATODA;Nematoda;799;Nematoda;799;Nematoda;0
Oithona similis;Oithona similis;106656;Oithona similis;106656;Oithona similis;1
PISCES;Pisces;11676;Pisces;11676;Pisces;0
Pseudocalanus minutus;Pseudocalanus minutus;104517;Pseudocalanus minutus;104517;Pseudocalanus minutus;1
Mesocyclops leuckarti;Mesocyclops leuckarti;234061;Mesocyclops leuckarti;730086;Mesocyclops leuckarti leuckarti;1
Fritillaria;Fritillaria;103358;Fritillaria;103358;Fritillaria;1
MYSIDAE;Mysidae;119822;Mysidae;119822;Mysidae;0
Diaphanosoma brachyurum;Diaphanosoma brachyurum;234063;Diaphanosoma brachyurum;234063;Diaphanosoma brachyurum;1
Limnocalanus grimaldii;Limnocalanus grimaldii;234069;Limnocalanus grimaldii;487769;Limnocalanus grimaldii grimaldii;1
Paracalanus parvus;Paracalanus parvus;104685;Paracalanus parvus;745865;Paracalanus parvus parvus;1
Podon intermedius;Podon intermedius;106276;Podon intermedius;106276;Podon intermedius;1
Synchaeta curvata;Synchaeta curvata;135050;Synchaeta curvata;135050;Synchaeta curvata;1
Nemertea;Nemertea;152391;Nemertea;152391;Nemertea;0
Bivalvia;Bivalvia;105;Bivalvia;105;Bivalvia;0
Mysida;Mysida;149668;Mysida;149668;Mysida;0
OSTRACODA;Ostracoda;1078;Ostracoda;1078;Ostracoda;0
Megacyclops viridis;Megacyclops viridis;157736;Megacyclops viridis;729868;Megacyclops viridis viridis;1
Amphibalanus improvisus;Amphibalanus improvisus;421139;Amphibalanus improvisus;421139;Amphibalanus improvisus;0
Fritillaria borealis;Fritillaria borealis;103375;Fritillaria borealis;103375;Fritillaria borealis;1
Macrobrachium sintangense;Macrobrachium sintangense;587551;Macrobrachium sintangense;587551;Macrobrachium sintangense;0
Cercopagis (Cercopagis) pengoi;Cercopagis (Cercopagis) pengoi;234025;Cercopagis (Cercopagis) pengoi;234025;Cercopagis (Cercopagis) pengoi;0
Synchaeta littoralis;Synchaeta littoralis;135057;Synchaeta littoralis;135057;Synchaeta littoralis;1
Rotifera;Rotifera;14260;Rotifera;14260;Rotifera;1
HYDROZOA;Hydrozoa;1337;Hydrozoa;1337;Hydrozoa;0
Daphnia longispina;Daphnia longispina;148373;Daphnia longispina;148373;Daphnia longispina;1
Bosmina (Eubosmina) coregoni;Bosmina (Eubosmina) coregoni;106271;Bosmina (Eubosmina) coregoni;106271;Bosmina (Eubosmina) coregoni;1
Leptodora kindtii;Leptodora kindtii;247980;Leptodora kindtii;247980;Leptodora kindtii;0
Oikopleura (Vexillaria) dioica;Oikopleura (Vexillaria) dioica;103407;Oikopleura (Vexillaria) dioica;103407;Oikopleura (Vexillaria) dioica;1
Notholca;Notholca;134944;Notholca;134944;Notholca;1
Hyperiidae;Hyperiidae;101417;Hyperiidae;101417;Hyperiidae;0
Rhithropanopeus harrisii;Rhithropanopeus harrisii;107414;Rhithropanopeus harrisii;107414;Rhithropanopeus harrisii;0
Synchaeta baltica;Synchaeta baltica;135047;Synchaeta baltica;135047;Synchaeta baltica;1
Cyclopidae;Cyclopidae;106413;Cyclopidae;106413;Cyclopidae;1
Pseudocalanus acuspes;Pseudocalanus acuspes;104514;Pseudocalanus acuspes;104514;Pseudocalanus acuspes;1
Ceriodaphnia;Ceriodaphnia;148376;Ceriodaphnia;148376;Ceriodaphnia;1
Aurelia aurita;Aurelia aurita;135306;Aurelia aurita;135306;Aurelia aurita;0
Pleopis polyphemoides;Pleopis polyphemoides;247981;Pleopis polyphemoides;247981;Pleopis polyphemoides;1
Gammarus;Gammarus;101537;Gammarus;101537;Gammarus;0
Oligochaeta;Oligochaeta;2036;Oligochaeta;2036;Oligochaeta;0
Decapoda;Decapoda;1130;Decapoda;1130;Decapoda;0
